k,il,il_hat,vc,vc_hat,vR2,vR2_hat,iR2,iR2_hat
0,-0.000551,-0.000977,0.001102,-0.000977,0.000582,0.000733,-0.002026,0.000001
1,-0.314293,-0.315430,0.628396,0.627930,-0.708323,-0.707039,-0.001926,-0.000707
2,-0.784426,-0.784180,1.567754,1.566406,-1.762784,-1.763078,-0.001908,-0.001762
3,-1.330927,-1.330078,2.659489,2.658203,-2.992362,-2.991786,-0.002049,-0.002991
4,-1.911781,-1.910156,3.819757,3.821289,-4.300002,-4.300357,-0.004625,-0.004299
5,-2.504064,-2.501953,5.002808,5.003906,-5.630459,-5.631396,-0.004876,-0.005629
6,-3.098444,-3.095703,6.190029,6.190430,-6.965139,-6.966832,-0.007067,-0.006964
7,-3.684888,-3.681641,7.361378,7.363281,-8.285800,-8.286637,-0.008536,-0.008284
8,-4.258594,-4.254883,8.507276,8.510742,-9.575969,-9.577867,-0.011542,-0.009574
9,-4.816403,-4.811523,9.621414,9.624023,-10.828834,-10.830754,-0.010413,-0.010827
10,-5.356490,-5.350586,10.700150,10.703125,-12.042633,-12.045053,-0.013432,-0.012041
11,-5.875246,-5.869141,11.736273,11.740234,-13.209539,-13.212215,-0.014908,-0.013208
12,-6.371264,-6.365234,12.726975,12.731445,-14.324717,-14.327846,-0.013192,-0.014323
13,-6.843219,-6.835938,13.669612,13.674805,-15.385512,-15.389259,-0.015573,-0.015384
14,-7.286918,-7.279297,14.555801,14.562500,-16.385800,-16.388149,-0.016345,-0.016382
15,-7.702280,-7.692383,15.385391,15.388672,-17.315706,-17.317923,-0.017809,-0.017312
16,-8.086360,-8.077148,16.152491,16.158203,-18.181911,-18.183953,-0.016317,-0.018177
17,-8.438836,-8.428711,16.856466,16.861328,-18.974003,-18.975250,-0.019086,-0.018969
18,-8.758721,-8.748047,17.495340,17.499023,-19.692122,-19.693034,-0.020577,-0.019686
19,-9.043827,-9.032227,18.064741,18.069336,-20.334619,-20.334620,-0.020953,-0.020327
20,-9.293410,-9.281250,18.563190,18.564453,-20.894128,-20.892191,-0.021589,-0.020885
21,-9.506022,-9.493164,18.987788,18.989258,-21.373770,-21.370144,-0.020777,-0.021363
22,-9.682415,-9.667969,19.340042,19.337891,-21.768476,-21.762618,-0.020844,-0.021755
23,-9.818049,-9.801758,19.610877,19.604492,-22.074369,-22.062773,-0.022107,-0.022055
24,-9.916823,-9.897461,19.808096,19.795898,-22.294552,-22.278182,-0.021843,-0.022270
25,-9.975872,-9.953125,19.925962,19.907227,-22.427886,-22.403471,-0.022412,-0.022396
26,-9.995611,-9.969727,19.965309,19.937500,-22.472566,-22.437907,-0.021063,-0.022430
27,-9.976592,-9.946289,19.927244,19.892578,-22.429250,-22.387107,-0.023181,-0.022379
28,-9.917578,-9.885742,19.809289,19.768555,-22.296379,-22.247898,-0.024053,-0.022240
29,-9.819466,-9.787109,19.613243,19.573242,-22.075327,-22.027849,-0.022960,-0.022020
30,-9.681837,-9.650391,19.338263,19.301758,-21.765455,-21.722076,-0.021218,-0.021714
31,-9.507158,-9.479492,18.989283,18.959961,-21.374615,-21.337418,-0.021174,-0.021330
32,-9.294957,-9.271484,18.565358,18.544922,-20.895041,-20.870211,-0.022165,-0.020863
33,-9.046294,-9.025391,18.068605,18.055664,-20.336490,-20.319233,-0.019426,-0.020312
34,-8.761132,-8.743164,17.498948,17.492188,-19.696131,-19.684975,-0.018303,-0.019678
35,-8.440931,-8.425781,16.859308,16.856445,-18.975608,-18.969633,-0.019118,-0.018963
36,-8.087942,-8.074219,16.154181,16.154297,-18.182255,-18.179313,-0.018237,-0.018173
37,-7.702915,-7.691406,15.385063,15.387695,-17.317072,-17.316701,-0.018901,-0.017311
38,-7.287898,-7.277344,14.556047,14.559570,-16.383983,-16.384730,-0.015471,-0.016379
39,-6.844110,-6.834961,13.669566,13.672852,-15.385070,-15.387061,-0.018229,-0.015382
40,-6.373473,-6.365234,12.729460,12.734375,-14.328890,-14.330777,-0.015480,-0.014326
41,-5.877255,-5.869141,11.738261,11.741211,-13.211737,-13.213192,-0.012624,-0.013208
42,-5.357452,-5.350586,10.699957,10.705078,-12.044294,-12.047006,-0.011900,-0.012043
43,-4.816491,-4.810547,9.619398,9.625000,-10.829371,-10.831486,-0.011639,-0.010828
44,-4.257529,-4.251953,8.502888,8.506836,-9.570364,-9.573227,-0.010197,-0.009570
45,-3.681150,-3.675781,7.351593,7.353516,-8.273930,-8.275402,-0.008816,-0.008272
46,-3.090642,-3.086914,6.172081,6.174805,-6.947732,-6.949003,-0.005903,-0.006947
47,-2.486683,-2.483398,4.965705,4.967773,-5.590654,-5.590610,-0.005708,-0.005589
48,-1.874184,-1.872070,3.742280,3.744141,-4.213045,-4.213656,-0.003561,-0.004212
49,-1.253659,-1.251953,2.502826,2.501953,-2.816321,-2.815942,-0.001816,-0.002815
50,-0.628473,-0.627930,1.254067,1.253906,-1.412413,-1.411390,-0.001769,-0.001411
